Gene,Macaque gene name,Mouse gene name
DNAJC11,DNAJC11,Dnajc11
RP11-242F24.1,NA,NA
RP11-312B8.1,NA,NA
CAMTA1,CAMTA1,Camta1
RP3-453P22.2,NA,NA
RP11-338N10.1,NA,NA
RP11-338N10.2,NA,NA
RP11-338N10.3,NA,NA
VAMP3,VAMP3,Vamp3
PER3,PER3,Per3
RP3-467L1.4,NA,NA
UTS2,UTS2,Uts2
TNFRSF9,TNFRSF9,Tnfrsf9
PARK7,PARK7,Park7
ERRFI1,ERRFI1,Errfi1
RP11-431K24.1,NA,NA
RP11-431K24.3,NA,NA
SLC45A1,SLC45A1,Slc45a1
RERE,RERE,Rere
RP5-1115A15.1,NA,NA
RP4-633I8.4,NA,NA
ENO1,Eno1b,NA
ENO1,Eno1,NA
ENO1,Eno1b,NA
ENO1,Eno1,NA
ENO1-AS1,NA,NA
CA6,CA6,Car6
SLC2A5,SLC2A5,Slc2a5
GPR157,GPR157,Gpr157
MIR34AHG,NA,NA
RP3-510D11.2,NA,NA
H6PD,H6PD,H6pd
SPSB1,SPSB1,Spsb1
SLC25A33,Slc25a33,NA
TMEM201,TMEM201,Tmem201
PIK3CD,PIK3CD,Pik3cd
PIK3CD-AS2,NA,NA
CLSTN1,CLSTN1,Clstn1
CTNNBIP1,Ctnnbip1,NA
RP11-84A14.5,NA,NA
LZIC,LZIC,Lzic
NMNAT1,NMNAT1,Nmnat1
RBP7,RBP7,Rbp7
UBE4B,Ube4b,NA
KIF1B,KIF1B,Kif1b
PGD,PGD,Pgd
RP4-736L20.3,NA,NA
APITD1-CORT,NA,NA
APITD1,NA,NA
CORT,Cort,NA
DFFA,DFFA,Dffa
RP5-1113E3.3,NA,NA
PEX14,PEX14,Pex14
CASZ1,CASZ1,NA
RP4-734G22.3,NA,NA
C1orf127,C1H1orf127,Gm572
TARDBP,TARDBP,Tardbp
RP4-635E18.9,NA,NA
MASP2,MASP2,Masp2
RP4-635E18.8,NA,NA
SRM,Srm,NA
EXOSC10,EXOSC10,Exosc10
RP4-635E18.7,NA,NA
RP4-635E18.6,NA,NA
MTOR,MTOR,Mtor
MTOR-AS1,NA,NA
ANGPTL7,ANGPTL7,Angptl7
UBIAD1,UBIAD1,Ubiad1
PTCHD2,NA,NA
RP1-69M21.2,NA,NA
FBXO2,FBXO2,Fbxo2
FBXO44,FBXO44,Fbxo44
FBXO6,FBXO6,Fbxo6
MAD2L2,MAD2L2,Mad2l2
DRAXIN,DRAXIN,Draxin
AGTRAP,AGTRAP,Agtrap
C1orf167,C1H1orf167,NA
MTHFR,MTHFR,Mthfr
CLCN6,CLCN6,Clcn6
NPPA-AS1,NA,NA
NPPA,NPPA,Nppa
NPPB,NPPB,Nppb
KIAA2013,KIAA2013,2510039O18Rik
PLOD1,PLOD1,Plod1
MFN2,MFN2,Mfn2
MIIP,MIIP,Miip
TNFRSF8,TNFRSF8,Tnfrsf8
TNFRSF1B,TNFRSF1B,Tnfrsf1b
VPS13D,VPS13D,Vps13d
RP5-888M10.2,NA,NA
DHRS3,DHRS3,Dhrs3
RP11-474O21.5,NA,NA
C1orf158,NA,NA
HNRNPCL1,NA,NA
HNRNPCL1,Hnrnpc,NA
HNRNPCL3,NA,NA
HNRNPCL3,NA,NA
HNRNPCL3,Hnrnpc,NA
HNRNPCL2,NA,NA
HNRNPCL2,NA,NA
HNRNPCL2,NA,NA
HNRNPCL2,Hnrnpc,NA
HNRNPCL4,NA,NA
HNRNPCL4,NA,NA
HNRNPCL4,NA,NA
HNRNPCL4,Hnrnpc,NA
PDPN,PDPN,Pdpn
PRDM2,PRDM2,Prdm2
KAZN,KAZN,Kazn
TMEM51-AS1,NA,NA
TMEM51,TMEM51,Tmem51
C1orf195,NA,NA
FHAD1,FHAD1,Fhad1
RP3-467K16.2,NA,NA
RP3-467K16.7,NA,NA
RP3-467K16.4,NA,NA
EFHD2,EFHD2,Efhd2
CTRC,NA,NA
CELA2A,Cela2a,NA
CELA2B,CELA2B,Cela2a
CASP9,CASP9,Casp9
DNAJC16,DNAJC16,Dnajc16
RP4-680D5.8,NA,NA
AGMAT,AGMAT,Agmat
RP4-680D5.2,NA,NA
DDI2,NA,NA
RP4-680D5.9,NA,NA
PLEKHM2,PLEKHM2,Plekhm2
RP11-288I21.1,NA,NA
SLC25A34,SLC25A34,Slc25a34
RP11-169K16.4,NA,NA
TMEM82,TMEM82,Tmem82
FBLIM1,FBLIM1,Fblim1
UQCRHL,Uqcrh,NA
FLJ37453,NA,NA
SPEN,SPEN,Spen
ZBTB17,ZBTB17,Zbtb17
C1orf64,NA,NA
HSPB7,HSPB7,Hspb7
CLCNKA,Clcnka,NA
CLCNKA,Clcnkb,NA
CLCNKB,CLCNKB,Clcnka
CLCNKB,CLCNKB,Clcnkb
FAM131C,FAM131C,Fam131c
EPHA2,EPHA2,Epha2
RP11-276H7.2,NA,NA
RP11-276H7.3,NA,NA
ARHGEF19,ARHGEF19,Arhgef19
RSG1,NA,NA
FBXO42,FBXO42,Fbxo42
SZRD1,SZRD1,Szrd1
SPATA21,SPATA21,Spata21
NECAP2,NECAP2,Necap2
RP4-798A10.2,NA,NA
RP4-798A10.7,NA,NA
RP4-798A10.4,NA,NA
RP5-875O13.1,NA,NA
NBPF1,NA,NA
RP5-1182A14.5,NA,NA
RP5-1182A14.7,NA,NA
CROCC,CROCC,Crocc
RP11-108M9.3,NA,NA
RP11-108M9.4,NA,NA
RP11-108M9.6,NA,NA
MFAP2,MFAP2,Mfap2
ATP13A2,ATP13A2,Atp13a2
SDHB,Sdhb,NA
SDHB,SDHB,Sdhb
PADI2,PADI2,Padi2
PADI1,NA,NA
PADI1,PADI1,Padi1
PADI3,NA,NA
PADI3,PADI3,Padi3
PADI4,NA,NA
PADI4,PADI4,Padi4
AC004824.2,NA,NA
RCC2,NA,NA
RCC2,RCC2,Rcc2
ARHGEF10L,ARHGEF10L,Arhgef10l
ACTL8,ACTL8,NA
IGSF21,IGSF21,Igsf21
KLHDC7A,KLHDC7A,Klhdc7a
ALDH4A1,ALDH4A1,Aldh4a1
IFFO2,IFFO2,Iffo2
UBR4,UBR4,Ubr4
RP1-43E13.2,NA,NA
EMC1,EMC1,Emc1
MRTO4,Mrto4,NA
MRTO4,Mrto4,NA
AKR7A3,AKR7A3,NA
AKR7A2,AKR7A2,NA
PQLC2,NA,NA
CAPZB,CAPZB,Capzb
RP5-1056L3.1,NA,NA
MINOS1,NA,NA
NBL1,NBL1,Nbl1
TMCO4,TMCO4,Tmco4
RNF186,RNF186,Rnf186
RP11-91K11.2,NA,NA
OTUD3,OTUD3,Otud3
PLA2G2A,PLA2G2A,Pla2g2a
PLA2G5,PLA2G5,Pla2g5
PLA2G2D,PLA2G2D,Pla2g2d
RP3-340N1.2,NA,NA
PLA2G2C,PLA2G2C,Pla2g2c
UBXN10-AS1,NA,NA
UBXN10,UBXN10,Ubxn10
RP3-340N1.6,NA,NA
VWA5B1,VWA5B1,Vwa5b1
LINC01141,NA,NA
CAMK2N1,CAMK2N1,Camk2n1
MUL1,MUL1,Mul1
FAM43B,FAM43B,Fam43b
CDA,CDA,Cda
PINK1,PINK1,Pink1
PINK1-AS,NA,NA
DDOST,Ddost,NA
KIF17,DDOST,Kif17
SH2D5,SH2D5,Sh2d5
RP5-930J4.2,NA,NA
HP1BP3,HP1BP3,Hp1bp3
EIF4G3,EIF4G3,Eif4g3
ECE1,ECE1,Ece1
RP3-329E20.2,NA,NA
RP5-1071N3.1,NA,NA
NBPF3,NA,NA
NBPF3,NA,NA
NBPF3,NA,NA
NBPF3,NA,NA
ALPL,ALPL,Alpl
RP11-63N8.3,NA,NA
RAP1GAP,RAP1GAP,Rap1gap
USP48,USP48,Usp48
LDLRAD2,LDLRAD2,Ldlrad2
HSPG2,HSPG2,Hspg2
CELA3B,Cela3b,NA
CELA3B,Cela3a,NA
CELA3A,Cela3b,NA
CELA3A,Cela3a,NA
RP1-224A6.3,NA,NA
LINC00339,NA,NA
CDC42,CDC42,Cdc42
RP1-224A6.9,NA,NA
WNT4,WNT4,Wnt4
ZBTB40,ZBTB40,Zbtb40
EPHA8,EPHA8,Epha8
C1QA,C1qa,NA
C1QC,C1QC,C1qc
C1QB,C1QB,C1qb
EPHB2,EPHB2,Ephb2
C1orf234,NA,NA
KDM1A,KDM1A,Kdm1a
RP1-184J9.2,NA,NA
LUZP1,LUZP1,Luzp1
HTR1D,HTR1D,NA
LINC01355,NA,NA
LINC01355,NA,NA
HNRNPR,NA,NA
HNRNPR,HNRNPR,Hnrnpr
ZNF436,NA,NA
ZNF436,ZNF436,Zfp46
ZNF436-AS1,NA,NA
ZNF436-AS1,NA,NA
RP5-1057J7.7,NA,NA
TCEA3,NA,NA
TCEA3,TCEA3,Tcea3
ASAP3,NA,NA
ASAP3,ASAP3,Asap3
E2F2,NA,NA
E2F2,E2F2,E2f2
RP1-150O5.3,NA,NA
ID3,NA,NA
ID3,ID3,Id3
MDS2,NA,NA
RPL11,Rpl11,NA
TCEB3,NA,NA
TCEB3-AS1,NA,NA
PITHD1,PITHD1,Pithd1
LYPLA2,LYPLA2,Lypla2
GALE,GALE,Gale
HMGCL,HMGCL,Hmgcl
FUCA1,FUCA1,Fuca1
CNR2,CNR2,Cnr2
PNRC2,PNRC2,Pnrc2
SRSF10,SRSF10,Srsf10
MYOM3,MYOM3,Myom3
IL22RA1,IL22RA1,Il22ra1
IFNLR1,IFNLR1,Ifnlr1
RP11-10N16.3,NA,NA
GRHL3,GRHL3,Grhl3
STPG1,STPG1,Stpg1
NIPAL3,NIPAL3,Nipal3
RCAN3,RCAN3,Rcan3
RP4-594I10.3,NA,NA
NCMAP,NCMAP,Ncmap
SRRM1,SRRM1,Srrm1
CLIC4,CLIC4,Clic4
RUNX3,RUNX3,Runx3
RP11-84D1.2,NA,NA
RP4-799D16.1,NA,NA
RP4-706G24.1,NA,NA
SYF2,SYF2,Syf2
RSRP1,RSRP1,Rsrp1
RP3-465N24.6,NA,NA
RHD,Rhd,NA
TMEM50A,TMEM50A,Tmem50a
RHCE,Rhd,NA
TMEM57,NA,NA
LDLRAP1,LDLRAP1,Ldlrap1
RP11-70P17.1,NA,NA
MAN1C1,MAN1C1,Man1c1
RP1-187B23.1,NA,NA
SEPN1,NA,NA
RP1-317E23.3,NA,NA
MTFR1L,MTFR1L,Mtfr1l
AUNIP,AUNIP,Aunip
RP1-125I3.2,NA,NA
PAQR7,PAQR7,Paqr7
STMN1,STMN1,Stmn1
PAFAH2,PAFAH2,Pafah2
EXTL1,EXTL1,Extl1
SLC30A2,SLC30A2,Slc30a2
TRIM63,TRIM63,Trim63
PDIK1L,PDIK1L,Pdik1l
FAM110D,FAM110D,Fam110d
RP11-96L14.8,NA,NA
RP11-96L14.7,NA,NA
ZNF593,Zfp593,NA
ZNF593,Zfp593,NA
CNKSR1,CNKSR1,Cnksr1
CATSPER4,CATSPER4,Catsper4
CEP85,CEP85,Cep85
SH3BGRL3,Sh3bgrl3,NA
UBXN11,UBXN11,Ubxn11
CD52,CD52,Cd52
AIM1L,NA,NA
LIN28A,Lin28a,NA
DHDDS,DHDDS,Dhdds
RP3-476K8.3,NA,NA
HMGN2,NA,NA
RPS6KA1,NA,NA
RPS6KA1,RPS6KA1,Rps6ka1
RP5-968P14.2,NA,NA
ARID1A,ARID1A,Arid1a
PIGV,PIGV,Pigv
ZDHHC18,ZDHHC18,Zdhhc18
SFN,SFN,Sfn
GPN2,GPN2,Gpn2
GPATCH3,GPATCH3,Gpatch3
NUDC,NUDC,Nudc
NR0B2,NR0B2,Nr0b2
KDF1,KDF1,Kdf1
TRNP1,TRNP1,Trnp1
FAM46B,NA,NA
SLC9A1,SLC9A1,Slc9a1
WDTC1,WDTC1,Wdtc1
TMEM222,TMEM222,Tmem222
SYTL1,SYTL1,Sytl1
MAP3K6,MAP3K6,Map3k6
FCN3,FCN3,NA
CD164L2,Cd164l2,NA
GPR3,GPR3,Gpr3
WASF2,WASF2,Wasf2
RP4-752I6.1,NA,NA
RP1-159A19.4,NA,NA
AHDC1,AHDC1,Ahdc1
FGR,FGR,Fgr
RP11-288L9.1,NA,NA
IFI6,IFI6,NA
RP11-288L9.4,NA,NA
FAM76A,FAM76A,Fam76a
STX12,Stx12,NA
PPP1R8,PPP1R8,Ppp1r8
AL109927.1,NA,NA
THEMIS2,THEMIS2,Themis2
RPA2,RPA2,Rpa2
SMPDL3B,Smpdl3b,NA
RP11-460I13.2,NA,NA
XKR8,XKR8,Xkr8
EYA3,EYA3,Eya3
PTAFR,PTAFR,Ptafr
DNAJC8,NA,NA
DNAJC8,Dnajc8,NA
DNAJC8,Dnajc8,NA
ATPIF1,NA,NA
RP5-1092A3.4,NA,NA
RP5-1092A3.5,NA,NA
SESN2,NA,NA
SESN2,SESN2,Sesn2
MED18,NA,NA
MED18,MED18,Med18
PHACTR4,PHACTR4,Phactr4
RCC1,RCC1,Rcc1
TRNAU1AP,TRNAU1AP,Trnau1ap
SNHG12,NA,NA
TAF12,TAF12,Taf12
RAB42,RAB42,Rab42
RP11-442N24--B.1,NA,NA
RNU11,NA,NA
GMEB1,GMEB1,Gmeb1
YTHDF2,YTHDF2,Ythdf2
OPRD1,Oprd1,NA
RP1-212P9.3,NA,NA
EPB41,EPB41,Epb41
TMEM200B,TMEM200B,Tmem200b
SRSF4,SRSF4,Srsf4
MECR,MECR,Mecr
PTPRU,PTPRU,Ptpru
RP4-656G21.1,NA,NA
RP11-111I12.1,NA,NA
MATN1,MATN1,Matn1
MATN1-AS1,NA,NA
LAPTM5,LAPTM5,Laptm5
RP5-1125N11.2,NA,NA
SDC3,SDC3,Sdc3
PUM1,PUM1,Pum1
NKAIN1,NKAIN1,Nkain1
SNRNP40,SNRNP40,Snrnp40
ZCCHC17,ZCCHC17,Zcchc17
RP11-266K22.2,NA,NA
FABP3,FABP3,Fabp3
SERINC2,Serinc2,NA
LINC01226,NA,NA
RP11-73M7.1,NA,NA
TINAGL1,SERINC2,Tinagl1
HCRTR1,HCRTR1,Hcrtr1
PEF1,Pef1,NA
PEF1,Pef1,NA
RP11-73M7.6,NA,NA
RP11-73M7.9,NA,NA
COL16A1,COL16A1,Col16a1
ADGRB2,ADGRB2,Adgrb2
SPOCD1,SPOCD1,Spocd1
RP11-84A19.2,NA,NA
RP11-84A19.4,NA,NA
PTP4A2,PTP4A2,Ptp4a2
RP4-534N18.2,NA,NA
KHDRBS1,KHDRBS1,Khdrbs1
RP11-277A4.4,NA,NA
TMEM39B,TMEM39B,Tmem39b
KPNA6,KPNA6,Kpna6
TXLNA,TXLNA,Txlna
CCDC28B,CCDC28B,Ccdc28b
RP4-622L5.7,NA,NA
IQCC,IQCC,Iqcc
DCDC2B,DCDC2B,Dcdc2b
TMEM234,TMEM234,Tmem234
EIF3I,EIF3I,Eif3i
FAM167B,FAM167B,Fam167b
LCK,LCK,Lck
HDAC1,HDAC1,Hdac1
MARCKSL1,MARCKSL1,Marcksl1
TSSK3,TSSK3,Tssk3
FAM229A,FAM229A,Fam229a
BSDC1,BSDC1,Bsdc1
ZBTB8B,ZBTB8B,Zbtb8b
ZBTB8A,ZBTB8A,Zbtb8a
ZBTB8OS,ZBTB8OS,Zbtb8os
RBBP4,Rbbp4,NA
SYNC,SYNC,Sync
RP11-114B7.6,NA,NA
KIAA1522,KIAA1522,C77080
YARS,NA,NA
S100PBP,S100PBP,S100pbp
FNDC5,FNDC5,Fndc5
HPCA,HPCA,Hpca
TMEM54,TMEM54,Tmem54
RNF19B,RNF19B,Rnf19b
RP1-117O3.2,NA,NA
AK2,AK2,Ak2
AZIN2,AZIN2,Azin2
TRIM62,TRIM62,Trim62
ZNF362,ZNF362,Zfp362
RP11-415J8.7,NA,NA
RP11-415J8.3,NA,NA
PHC2,PHC2,Phc2
RP11-415J8.5,NA,NA
ZSCAN20,ZSCAN20,Zscan20
CSMD2,CSMD2,Csmd2
C1orf94,C1H1orf94,CK137956
SMIM12,Smim12,NA
GJB4,GJB4,Gjb4
GJB3,GJB3,Gjb3
GJA4,GJA4,Gja4
DLGAP3,DLGAP3,Dlgap3
RP11-244H3.4,NA,NA
ZMYM6NB,NA,NA
ZMYM6,ZMYM6,Zmym6
ZMYM1,ZMYM1,Zmym1
SFPQ,SFPQ,Sfpq
ZMYM4,ZMYM4,Zmym4
ZMYM4-AS1,NA,NA
KIAA0319L,KIAA0319L,AU040320
NCDN,NCDN,Ncdn
RP4-728D4.2,NA,NA
TFAP2E,TFAP2E,Tfap2e
PSMB2,PSMB2,Psmb2
C1orf216,C1H1orf216,5730409E04Rik
CLSPN,CLSPN,Clspn
RP11-435D7.3,NA,NA
AGO4,AGO4,Ago4
AGO1,AGO1,Ago1
RP4-789D17.5,NA,NA
AGO3,AGO3,Ago3
RP4-665N4.8,NA,NA
TEKT2,TEKT2,Tekt2
ADPRHL2,NA,NA
COL8A2,COL8A2,Col8a2
TRAPPC3,TRAPPC3,Trappc3
MAP7D1,MAP7D1,Map7d1
THRAP3,THRAP3,Thrap3
SH3D21,SH3D21,Sh3d21
EVA1B,EVA1B,Eva1b
RP11-268J15.5,NA,NA
STK40,STK40,Stk40
LSM10,LSM10,Lsm10
OSCP1,OSCP1,Oscp1
MRPS15,MRPS15,Mrps15
CSF3R,CSF3R,Csf3r
GRIK3,GRIK3,Grik3
RP5-1180C18.1,NA,NA
LINC01137,NA,NA
ZC3H12A,ZC3H12A,Zc3h12a
MEAF6,MEAF6,Meaf6
SNIP1,SNIP1,Snip1
DNALI1,DNALI1,Dnali1
GNL2,GNL2,Gnl2
RSPO1,RSPO1,Rspo1
C1orf109,C1H1orf109,9930104L06Rik
CDCA8,CDCA8,Cdca8
EPHA10,EPHA10,Epha10
MANEAL,MANEAL,Maneal
RP11-109P14.9,NA,NA
YRDC,YRDC,Yrdc
C1orf122,C1H1orf122,1110065P20Rik
MTF1,MTF1,Mtf1
INPP5B,INPP5B,Inpp5b
RP11-109P14.10,NA,NA
SF3A3,SF3A3,Sf3a3
FHL3,FHL3,Fhl3
UTP11L,NA,NA
POU3F1,POU3F1,Pou3f1
RP5-884C9.2,NA,NA
RRAGC,RRAGC,Rragc
RP5-864K19.4,NA,NA
MYCBP,MYCBP,Mycbp
RP5-864K19.6,NA,NA
RHBDL2,RHBDL2,Rhbdl2
AKIRIN1,AKIRIN1,Akirin1
NDUFS5,Ndufs5,NA
NDUFS5,Ndufs5,NA
NDUFS5,Ndufs5,NA
MACF1,MACF1,Macf1
RP11-420K8.1,NA,NA
BMP8A,NA,NA
BMP8A,NA,NA
RP11-69E11.4,NA,NA
PABPC4,PABPC4,Pabpc4
RP11-69E11.8,NA,NA
HEYL,HEYL,Heyl
RP1-144F13.3,NA,NA
HPCAL4,HPCAL4,Hpcal4
PPIE,PPIE,Ppie
BMP8B,NA,NA
BMP8B,NA,NA
OXCT2,Oxct2a,NA
OXCT2,Oxct2b,NA
RP1-118J21.25,NA,NA
TRIT1,TRIT1,Trit1
MYCL,MYCL,Mycl
RP1-118J21.5,NA,NA
MFSD2A,MFSD2A,Mfsd2a
CAP1,CAP1,Cap1
PPT1,PPT1,Ppt1
RLF,RLF,Rlf
TMCO2,TMCO2,Tmco2
RP1-39G22.7,NA,NA
ZMPSTE24,ZMPSTE24,Zmpste24
COL9A2,COL9A2,Col9a2
SMAP2,SMAP2,Smap2
ZFP69B,ZFP69B,NA
ZFP69,Zfp69,NA
RP11-656D10.3,NA,NA
EXO5,EXO5,Exo5
RP11-656D10.5,NA,NA
RP11-656D10.6,NA,NA
ZNF684,ZNF684,NA
RIMS3,RIMS3,Rims3
NFYC-AS1,NA,NA
NFYC,NFYC,Nfyc
KCNQ4,KCNQ4,Kcnq4
CITED4,CITED4,Cited4
RP5-1066H13.4,NA,NA
CTPS1,CTPS1,Ctps
SLFNL1-AS1,NA,NA
SLFNL1,SLFNL1,Slfnl1
SCMH1,SCMH1,Scmh1
RP11-399E6.1,NA,NA
FOXO6,NA,NA
FOXO6,FOXO6,Foxo6
RP11-399E6.4,NA,NA
EDN2,EDN2,Edn2
HIVEP3,HIVEP3,Hivep3
GUCA2B,GUCA2B,Guca2b
GUCA2A,GUCA2A,Guca2a
FOXJ3,FOXJ3,Foxj3
RIMKLA,RIMKLA,Rimkla
ZMYND12,ZMYND12,Zmynd12
PPCS,PPCS,Ppcs
CCDC30,CCDC30,Ccdc30
PPIH,PPIH,Ppih
PPIH,PPIH,Gm7879
RP5-994D16.3,NA,NA
YBX1,YBX1,Ybx1
YBX1,Ybx1,NA
CLDN19,CLDN19,Cldn19
P3H1,P3H1,P3h1
C1orf50,C1H1orf50,AU022252
RP5-994D16.9,NA,NA
SVBP,SVBP,Svbp
ERMAP,ERMAP,Ermap
RP11-342M1.3,NA,NA
ZNF691,ZNF691,Zfp691
SLC2A1,SLC2A1,Slc2a1
SLC2A1-AS1,NA,NA
FAM183A,FAM183A,Fam183b
EBNA1BP2,EBNA1BP2,Ebna1bp2
CFAP57,CFAP57,Cfap57
TMEM125,TMEM125,Tmem125
C1orf210,C1H1orf210,2610528J11Rik
TIE1,TIE1,Tie1
MPL,MPL,Mpl
RP1-92O14.3,NA,NA
CDC20,CDC20,Cdc20
ELOVL1,Elovl1,NA
MED8,MED8,Med8
RP1-92O14.6,NA,NA
SZT2,SZT2,Szt2
SZT2-AS1,NA,NA
HYI,HYI,NA
HYI-AS1,NA,NA
PTPRF,PTPRF,Ptprf
KDM4A,KDM4A,Kdm4a
KDM4A-AS1,NA,NA
ST3GAL3,ST3GAL3,St3gal3
RP11-184I16.4,NA,NA
ARTN,ARTN,Artn
RP11-7O11.3,NA,NA
IPO13,IPO13,Ipo13
DPH2,DPH2,Dph2
ATP6V0B,Atp6v0b,NA
B4GALT2,B4GALT2,B4galt2
CCDC24,CCDC24,Ccdc24
SLC6A9,SLC6A9,Slc6a9
RP5-1198O20.4,NA,NA
KLF17,KLF17,Klf17
DMAP1,DMAP1,Dmap1
ERI3,ERI3,Eri3
RNF220,RNF220,Rnf220
TMEM53,TMEM53,Tmem53
C1orf228,NA,NA
KIF2C,KIF2C,Kif2c
RP11-269F19.2,NA,NA
RPS8,RPS8,Rps8
BEST4,BEST4,NA
PLK3,PLK3,Plk3
TCTEX1D4,NA,NA
BTBD19,BTBD19,Btbd19
PTCH2,Ptch2,NA
EIF2B3,EIF2B3,Eif2b3
HECTD3,HECTD3,Hectd3
UROD,UROD,Urod
ZSWIM5,ZSWIM5,Zswim5
LINC01144,NA,NA
HPDL,HPDL,Hpdl
MUTYH,MUTYH,Mutyh
TOE1,TOE1,Toe1
